SA2_CODE21,SA2_NAME21,STE_NAME21,bev_count_2025,layer1_optimistic_npv,layer1_base_npv,layer1_conservative_npv,layer2_optimistic_npv,layer2_base_npv,layer2_conservative_npv,n_positive_layer1,n_positive_layer2,classification,total_plugs_2025,total_fleet_2025,capex_per_plug,ac_ratio,bev_per_plug_2025,plugs_needed_base,plugs_needed_optimistic,capex_gap_base,has_gap
101021007,Braidwood,New South Wales,34.0,145746.60817000657,54498.43805524698,31847.53910252031,139666.6810840433,52486.44225036231,31476.52728789051,3,3,Robust — viable even without subsidy,5.0,4430.0,24500.0,0.5,6.8,0.0,0.0,0.0,False
101021012,Queanbeyan West - Jerrabomberra,New South Wales,140.0,149995.37311986406,22295.216325536116,-54653.15620517727,248766.13247175002,-19623.207669929674,-165776.01145821036,2,1,Mixed — sensitive to cost assumptions,0.0,7078.0,18848.0,0.657,,10.0,6.0,188480.0,True
101021611,Queanbeyan Surrounds,New South Wales,109.0,225599.74650406122,208424.57449198043,196070.33057851237,422178.1416821148,330086.98497882666,289430.8647736328,3,3,Robust — viable even without subsidy,10.0,6387.0,6500.0,1.0,10.9,0.0,0.0,0.0,False
101031013,Bombala,New South Wales,4.0,-3394.8676522225633,-17019.807700335637,-23578.039627198836,-2207.4175038507547,-2643.7593220714275,-7452.282856514177,0,0,Not viable under any scenario,0.0,2125.0,18848.0,0.657,,1.0,1.0,18848.0,True
101031014,Cooma,New South Wales,41.0,212540.5795497809,202108.07705074674,189273.21357830742,131918.83118369163,125980.05981563222,118652.50485979125,3,3,Robust — viable even without subsidy,22.0,8519.0,30500.000000000004,0.3333333333333333,1.8636363636363635,0.0,0.0,0.0,False
101031015,Cooma Surrounds,New South Wales,10.0,6281.907821528501,6013.932353871969,5682.693805067958,28440.281086377756,27138.2739826828,25532.5501498832,3,3,Robust — viable even without subsidy,7.0,1585.0,6500.0,1.0,1.4285714285714286,0.0,0.0,0.0,False
101031016,Jindabyne - Berridale,New South Wales,36.0,-57489.80829430354,-55294.57779258028,-52572.12895294036,36559.049610835624,34453.2593503412,31871.1181121497,0,3,Robust — viable even without subsidy,54.0,7105.0,11300.0,0.8666666666666667,0.6666666666666666,0.0,0.0,0.0,False
101041020,Bega-Eden Hinterland,New South Wales,167.0,698004.266013482,665713.8291508892,625901.6146438083,605004.6821590737,578161.0361211614,545026.2594516868,3,3,Robust — viable even without subsidy,60.0,29065.0,9500.000000000002,0.9166666666666666,2.783333333333333,0.0,0.0,0.0,False
101041022,Deua - Wadbilliga,New South Wales,120.0,403128.83561896055,384964.447208418,362548.3723789358,441850.81543950073,422282.87068948324,398127.6416182829,3,3,Robust — viable even without subsidy,40.0,21403.0,8617.64705882353,0.9411764705882353,3.0,0.0,0.0,0.0,False
101041024,Eurobodalla Hinterland,New South Wales,99.0,440652.44491943147,419960.92545933975,394466.81374223065,359955.675355635,343991.3872780378,324285.438888734,3,3,Robust — viable even without subsidy,35.0,16251.0,24500.0,0.5,2.8285714285714287,0.0,0.0,0.0,False
101051540,Goulburn Surrounds,New South Wales,187.0,833069.7966342316,792779.2168316373,743202.1337340344,687027.104932571,656593.4798108494,619025.6197063744,3,3,Robust — viable even without subsidy,63.0,38583.0,20000.0,0.625,2.9682539682539684,0.0,0.0,0.0,False
101061542,Yass Surrounds,New South Wales,237.0,574977.8469487745,551549.5359402635,522551.33802335896,932879.557562565,294968.65963048127,130337.1090541225,3,3,Robust — viable even without subsidy,32.0,16720.0,30500.000000000004,0.3333333333333333,7.40625,0.0,0.0,0.0,False
101061544,Young Surrounds,New South Wales,33.0,140710.9039887726,133513.59796603318,124683.121371491,103223.9847180504,98559.8652764643,92805.63965963059,3,3,Robust — viable even without subsidy,19.0,18361.0,12500.0,0.8333333333333334,1.736842105263158,0.0,0.0,0.0,False
102011029,Box Head - MacMasters Beach,New South Wales,185.0,800781.1327236088,604402.4484722075,496260.3267288,640532.0325029918,483847.2602274619,397399.82572286745,3,3,Robust — viable even without subsidy,4.0,21178.0,6500.0,1.0,46.25,9.0,4.0,58500.0,True
102011030,Calga - Kulnura,New South Wales,736.0,2287701.295302759,1271760.888527033,898817.9420110616,2403078.06492807,1145064.2649029372,652255.4829058805,3,3,Robust — viable even without subsidy,58.0,68200.0,17088.235294117647,0.7058823529411765,12.689655172413794,0.0,0.0,0.0,False
102011034,Kincumber - Picketts Valley,New South Wales,303.0,558389.2847456137,70426.96469494147,-209356.062986259,530052.8123213431,-18005.24438401722,-330400.3868593063,2,1,Mixed — sensitive to cost assumptions,0.0,25279.0,18848.0,0.657,,21.0,13.0,395808.0,True
102011041,Wamberal - Forresters Beach,New South Wales,282.0,887775.7811481692,684606.8556859416,575293.6912530812,978223.0599211972,738326.0473887376,606626.3717960475,3,3,Robust — viable even without subsidy,6.0,19459.0,6500.0,1.0,47.0,13.0,6.0,84500.0,True
102021044,Bateau Bay - Killarney Vale,New South Wales,262.0,1050201.7637220845,645682.7092683781,468561.0857430253,944236.4373974329,633881.0282290155,504008.34881961346,3,3,Robust — viable even without subsidy,21.0,40997.0,10500.000000000002,0.8888888888888888,12.476190476190476,0.0,0.0,0.0,False
102021045,Blue Haven - San Remo,New South Wales,41.0,282373.47771751403,175570.17222287378,118648.167847452,141473.85607680303,105528.13811177004,86150.01186067917,3,3,Robust — viable even without subsidy,1.0,15688.0,6500.0,1.0,41.0,2.0,1.0,13000.0,True
102021048,Gorokan - Kanwal - Charmhaven,New South Wales,82.0,403613.18741612765,87711.20619500837,-38165.24007922958,336977.62047863245,179258.39154842164,137095.9051502225,2,3,Robust — viable even without subsidy,12.0,17940.0,20900.0,0.6,6.833333333333333,0.0,0.0,0.0,False
102021049,Jilliby - Yarramalong,New South Wales,343.0,662270.98998373,-286571.3016433936,-718413.8202184399,730915.8134720656,-64731.52304606864,-420594.36400471145,1,1,Mixed — sensitive to cost assumptions,16.0,53188.0,24500.0,0.5,21.4375,7.0,0.0,171500.0,True
102021051,Ourimbah - Fountaindale,New South Wales,49.0,160706.5195176691,122490.70046241149,103286.07472167199,174739.94992439728,130965.20921512498,108931.92248123456,3,3,Robust — viable even without subsidy,2.0,4516.0,6500.0,1.0,24.5,2.0,0.0,13000.0,True
103011060,Bathurst Surrounds,New South Wales,162.0,684391.7996584715,384199.495042088,305981.73398488667,617069.2140621151,589845.790114339,556236.7106932537,3,3,Robust — viable even without subsidy,45.0,38049.0,17088.235294117647,0.7058823529411765,3.6,0.0,0.0,0.0,False
103021062,Condobolin,New South Wales,0.0,-13713.742145859227,-13175.94312235768,-12509.596339047876,-13713.742145859227,-13175.94312235768,-12509.596339047876,0,0,Not viable under any scenario,6.0,2356.0,6500.0,1.0,0.0,0.0,0.0,0.0,False
103021064,Cowra Surrounds,New South Wales,21.0,67976.99206107597,64794.358646968714,60876.39095690184,77323.89270191263,73899.50237065955,69672.3372831995,3,3,Robust — viable even without subsidy,7.0,13314.0,15500.0,0.75,3.0,0.0,0.0,0.0,False
103021065,Forbes,New South Wales,8.0,32943.20566085551,31219.444317257054,29106.737244723714,26409.222774664668,25224.204018774948,23761.93247698599,3,3,Robust — viable even without subsidy,4.0,8816.0,6500.0,1.0,2.0,0.0,0.0,0.0,False
103021066,Grenfell,New South Wales,4.0,3908.734783384417,3687.903841735122,3417.2187692097523,8633.364005379255,8220.120968601583,7711.100792143703,3,3,Robust — viable even without subsidy,4.0,3095.0,6500.0,1.0,1.0,0.0,0.0,0.0,False
