Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21,SA3_NAME21,SA4_NAME21,GCC_NAME21,AREASQKM21,incentive_aud,charger_stations,total_plugs,ac_stations,dc_stations,has_dc_charger,max_power_kw,has_charging_data,nsw_comprehensive_data,median_income_weekly,median_age,apartment_ratio,total_dwellings,bev_count_lag1,adoption_rate_lag1,bev_growth_rate,plugs_per_1000_vehicles,fleet_density
0800,2021,6914,3.0,0.00043390222736476716,701011002,Darwin City,Northern Territory,Darwin City,Darwin,Greater Darwin,3.1731,0,1.0,2.0,0.0,1.0,1.0,50.0,1,0,2151.0,33,0.9862600536193029,2984,0.0,0.0,0.0,0.2892681515765114,2178.941728908638
0800,2022,7729,3.0,0.00038814853150472245,701011002,Darwin City,Northern Territory,Darwin City,Darwin,Greater Darwin,3.1731,1500,1.0,2.0,0.0,1.0,1.0,50.0,1,0,2151.0,33,0.9862600536193029,2984,3.0,0.00043390222736476716,0.0,0.25876568766981495,2435.788345781728
0800,2023,7501,12.0,0.001599786695107319,701011002,Darwin City,Northern Territory,Darwin City,Darwin,Greater Darwin,3.1731,1500,1.0,2.0,0.0,1.0,1.0,50.0,1,0,2151.0,33,0.9862600536193029,2984,3.0,0.00038814853150472245,2.857142857142857,0.2666311158512198,2363.934322901894
0800,2024,7029,20.0,0.0028453549580310144,701011002,Darwin City,Northern Territory,Darwin City,Darwin,Greater Darwin,3.1731,1500,1.0,2.0,0.0,1.0,1.0,50.0,1,0,2151.0,33,0.9862600536193029,2984,12.0,0.001599786695107319,0.6666666666666666,0.2845354958031014,2215.1838895717124
0800,2025,6938,38.0,0.005477082732776016,701011002,Darwin City,Northern Territory,Darwin City,Darwin,Greater Darwin,3.1731,1500,1.0,2.0,0.0,1.0,1.0,50.0,1,0,2151.0,33,0.9862600536193029,2984,20.0,0.0028453549580310144,0.9,0.28826751225136926,2186.50531026441
0810,2021,22150,6.0,0.0002708803611738149,701021013,Brinkin - Nakara,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,2.6861,0,1.0,1.0,1.0,0.0,0.0,22.0,1,0,2372.0,33,0.08,975,0.0,0.0,0.0,0.045146726862302484,8246.156137150516
0810,2022,22478,16.0,0.0007118071002758253,701021013,Brinkin - Nakara,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,2.6861,1500,1.0,1.0,1.0,0.0,0.0,22.0,1,0,2372.0,33,0.08,975,6.0,0.0002708803611738149,1.6666666666666667,0.04448794376723908,8368.266259632925
0810,2023,22390,22.0,0.0009825815096025012,701021013,Brinkin - Nakara,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,2.6861,1500,1.0,1.0,1.0,0.0,0.0,22.0,1,0,2372.0,33,0.08,975,16.0,0.0007118071002758253,0.375,0.04466279589102278,8335.505007259595
0810,2024,22681,75.0,0.003306732507385036,701021013,Brinkin - Nakara,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,2.6861,1500,1.0,1.0,1.0,0.0,0.0,22.0,1,0,2372.0,33,0.08,975,22.0,0.0009825815096025012,2.409090909090909,0.04408976676513381,8397.002408240318
0810,2025,22872,155.0,0.006776845050717034,701021013,Brinkin - Nakara,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,2.6861,1500,1.0,1.0,1.0,0.0,0.0,22.0,1,0,2372.0,33,0.08,975,75.0,0.003306732507385036,1.0666666666666667,0.04372158097236796,8397.002408240318
0812,2021,12043,3.0,0.0002491073652744333,701021014,Buffalo Creek,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,23.9106,0,1.0,2.0,0.0,1.0,1.0,50.0,1,0,1969.0,0,0.0,0,0.0,0.0,0.0,0.16607157684962218,503.6678293309244
0812,2022,11996,5.0,0.0004168056018672891,701021014,Buffalo Creek,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,23.9106,1500,1.0,2.0,0.0,1.0,1.0,50.0,1,0,1969.0,0,0.0,0,3.0,0.0002491073652744333,0.6666666666666666,0.16672224074691563,501.7021739312272
0812,2023,11969,14.0,0.0011696883616008021,701021014,Buffalo Creek,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,23.9106,1500,1.0,2.0,0.0,1.0,1.0,50.0,1,0,1969.0,0,0.0,0,5.0,0.0004168056018672891,1.8,0.16709833737154314,500.57296763778413
0812,2024,11911,30.0,0.0025186802115691378,701021014,Buffalo Creek,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,23.9106,1500,1.0,2.0,0.0,1.0,1.0,50.0,1,0,1969.0,0,0.0,0,14.0,0.0011696883616008021,1.1428571428571428,0.16791201410460918,498.14726522964713
0812,2025,11951,55.0,0.0046021253451594005,701021014,Buffalo Creek,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,23.9106,1500,1.0,2.0,0.0,1.0,1.0,50.0,1,0,1969.0,0,0.0,0,30.0,0.0025186802115691378,0.8333333333333334,0.16735001255125095,499.8201634421554
0820,2021,20174,11.0,0.0005452562704471102,701011006,Ludmilla - The Narrows,Northern Territory,Darwin City,Darwin,Greater Darwin,5.35,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1988.0,34,0.10537870472008781,911,0.0,0.0,0.0,0.0,3770.8411214953276
