Postcode,SA2_NAME21,STE_NAME21,GCC_NAME21,bev_count_2025,adoption_rate_2025,median_income_weekly,total_plugs,bev_count_2030,adoption_rate_2030,bev_growth_2025_2030,adoption_growth
0800,Darwin City,Northern Territory,Greater Darwin,38.0,0.005477082732776016,2151.0,2.0,270.0,0.03607768937945366,232.0,0.030600606646677644
0810,Brinkin - Nakara,Northern Territory,Greater Darwin,155.0,0.006776845050717034,2372.0,1.0,901.0,0.036561500281095505,746.0,0.02978465523037847
0812,Buffalo Creek,Northern Territory,Greater Darwin,55.0,0.0046021253451594005,1969.0,2.0,474.0,0.03683393448591232,419.0,0.03223180914075292
0820,Ludmilla - The Narrows,Northern Territory,Greater Darwin,247.0,0.010888732146005995,1988.0,0.0,811.0,0.03318631276488304,564.0,0.022297580618877044
0822,Alligator,Northern Territory,Rest of NT,9.0,0.0013062409288824384,1279.0,0.0,43.0,0.0057696872390806675,34.0,0.004463446310198229
0828,Berrimah,Northern Territory,Greater Darwin,23.0,0.004682410423452769,2250.0,0.0,170.0,0.03214659541845322,147.0,0.027464184995000446
0829,Howard Springs,Northern Territory,Greater Darwin,3.0,0.0014584346135148275,2442.0,0.0,21.0,0.009401881136000156,18.0,0.00794344652248533
0830,Koolpinyah,Northern Territory,Greater Darwin,49.0,0.00398665690342527,1062.0,0.0,386.0,0.029166433960199356,337.0,0.025179777056774086
0832,Palmerston - South,Northern Territory,Greater Darwin,56.0,0.004408407462804062,2527.0,0.0,468.0,0.03420412912964821,412.0,0.029795721666844147
0834,Virginia,Northern Territory,Greater Darwin,9.0,0.005558987029030266,2153.0,0.0,53.0,0.030523797497153282,44.0,0.024964810468123017
0835,Howard Springs,Northern Territory,Greater Darwin,16.0,0.005396290050590219,2442.0,0.0,102.0,0.03198852390050888,86.0,0.026592233849918663
0836,Humpty Doo,Northern Territory,Greater Darwin,25.0,0.00337609723160027,2569.0,0.0,233.0,0.029158469289541245,208.0,0.025782372057940976
0837,Weddell,Northern Territory,Greater Darwin,0.0,0.0,1969.0,0.0,1.0,0.0031848906073719263,1.0,0.0031848906073719263
0838,Weddell,Northern Territory,Greater Darwin,3.0,0.003537735849056604,1969.0,0.0,3.0,0.003537735849056604,0.0,0.0
0839,Virginia,Northern Territory,Greater Darwin,3.0,0.008403361344537815,2153.0,0.0,12.0,0.029952121898531914,9.0,0.0215487605539941
0840,Alligator,Northern Territory,Rest of NT,0.0,0.0,1279.0,0.0,0.0,0.0003616486210376024,0.0,0.0003616486210376024
0841,Weddell,Northern Territory,Greater Darwin,3.0,0.0046801872074883,1969.0,0.0,3.0,0.0046801872074883,0.0,0.0
0845,Alligator,Northern Territory,Rest of NT,0.0,0.0,1279.0,0.0,0.0,0.00039078164263628423,0.0,0.00039078164263628423
0846,Alligator,Northern Territory,Rest of NT,0.0,0.0,1279.0,0.0,0.0,0.00039078164263628423,0.0,0.00039078164263628423
0847,Daly,Northern Territory,Rest of NT,0.0,0.0,1182.0,0.0,0.0,0.00041208520997315645,0.0,0.00041208520997315645
0850,Katherine,Northern Territory,Rest of NT,8.0,0.0013201320132013201,2111.0,0.0,31.0,0.004791863262653351,23.0,0.0034717312494520307
0852,Barkly,Northern Territory,Rest of NT,0.0,0.0,1172.0,2.0,1.0,0.0004716776020359248,1.0,0.0004716776020359248
0853,Katherine,Northern Territory,Rest of NT,3.0,0.005172413793103448,2111.0,0.0,3.0,0.005172413793103448,0.0,0.0
0854,Gulf,Northern Territory,Rest of NT,0.0,0.0,1281.0,0.0,0.0,0.00022808714129496366,0.0,0.00022808714129496366
0860,Tennant Creek,Northern Territory,Rest of NT,0.0,0.0,1677.0,0.0,12.0,0.007354204077273607,12.0,0.007354204077273607
0862,Barkly,Northern Territory,Rest of NT,0.0,0.0,1172.0,0.0,0.0,0.0004240411799401045,0.0,0.0004240411799401045
0870,Flynn (NT),Northern Territory,Rest of NT,68.0,0.004405857198393158,2147.0,1.0,470.0,0.028285393491387367,402.0,0.02387953629299421
0872,Tanami,Northern Territory,Rest of NT,0.0,0.0,1277.0,6.0,1.0,0.00046135520096868277,1.0,0.00046135520096868277
0873,Ross,Northern Territory,Rest of NT,5.0,0.00335345405767941,1953.0,0.0,40.0,0.025088872760534286,35.0,0.021735418702854878
0874,Charles,Northern Territory,Rest of NT,0.0,0.0,2026.0,0.0,8.0,0.020937882363796234,8.0,0.020937882363796234
0875,Larapinta,Northern Territory,Rest of NT,3.0,0.0023790642347343376,2267.0,0.0,27.0,0.019742343574762344,24.0,0.017363279340028008
0880,East Arnhem,Northern Territory,Rest of NT,3.0,0.0011705033164260631,1552.0,0.0,3.0,0.0011705033164260631,0.0,0.0
0885,Anindilyakwa,Northern Territory,Rest of NT,0.0,0.0,1598.0,0.0,1.0,0.0010679485276341438,1.0,0.0010679485276341438
0886,Alligator,Northern Territory,Rest of NT,3.0,0.004739336492890996,1279.0,0.0,3.0,0.004739336492890996,0.0,0.0
2000,Sydney (North) - Millers Point,New South Wales,Greater Sydney,1571.0,0.07086791771923494,2457.0,96.0,1692.0,0.07086791771923494,121.0,0.0
2007,Ultimo,New South Wales,Greater Sydney,49.0,0.02078913873568095,1805.0,7.0,72.0,0.0283663272857666,23.0,0.007577188550085653
2008,Chippendale,New South Wales,Greater Sydney,88.0,0.03283582089552239,1606.0,6.0,95.0,0.03283582089552239,7.0,0.0
2009,Pyrmont,New South Wales,Greater Sydney,194.0,0.03222591362126246,2422.0,4.0,209.0,0.03222591362126246,15.0,0.0
2010,Surry Hills,New South Wales,Greater Sydney,323.0,0.03146001753189832,2308.0,16.0,348.0,0.03146001753189832,25.0,0.0
2011,Potts Point - Woolloomooloo,New South Wales,Greater Sydney,287.0,0.03429322499701278,2041.0,9.0,309.0,0.03429322499701278,22.0,0.0
2015,Erskineville - Alexandria,New South Wales,Greater Sydney,545.0,0.049325730835369716,2825.0,25.0,587.0,0.049325730835369716,42.0,0.0
2016,Redfern,New South Wales,Greater Sydney,120.0,0.022675736961451247,2116.0,12.0,177.0,0.031076574698090553,57.0,0.008400837736639306
2017,Waterloo,New South Wales,Greater Sydney,456.0,0.03721233882813775,2028.0,25.0,491.0,0.03721233882813775,35.0,0.0
2018,Eastlakes,New South Wales,Greater Sydney,206.0,0.021048329416573006,1411.0,6.0,341.0,0.03232390806078911,135.0,0.011275578644216102
2019,Botany,New South Wales,Greater Sydney,153.0,0.01321015368675531,2373.0,6.0,431.0,0.034531120210886,278.0,0.021320966524130694
2020,Sydney Airport,New South Wales,Greater Sydney,1145.0,0.036252532928064844,2750.0,23.0,1233.0,0.036252532928064844,88.0,0.0
2021,Paddington - Moore Park,New South Wales,Greater Sydney,243.0,0.03160358954350371,2810.0,32.0,262.0,0.03160358954350371,19.0,0.0
2022,Bondi Junction - Waverly,New South Wales,Greater Sydney,213.0,0.030780346820809247,2566.0,35.0,229.0,0.030780346820809247,16.0,0.0
2023,Bellevue Hill,New South Wales,Greater Sydney,323.0,0.05099463214398484,3301.0,6.0,348.0,0.05099463214398484,25.0,0.0
